word	ref	asr
slide	0	1
slimy	1	0
slip	0	2
slipper	3	3
slippery	1	1
slow	2	3
slowly	0	1
small	4	4
smart	1	1
smash	1	0
smell	7	5
smile	4	4
smoke	1	2
smoothly	1	1
smore	1	0
smother	2	1
snack	1	1
snail	1	1
snake	1	1
snap	3	2
sniff	2	2
snot	3	2
snotty	0	1
snuffle	0	1
snuggle	2	2
so	253	284
soak	2	0
sock	7	4
soft	3	1
softball	3	3
soil	1	1
sol	0	1
solar	0	1
solid	2	2
some	89	80
somebody	6	4
somehow	1	1
someone	7	8
something	34	39
sometime	3	0
sometimes	12	12
somewhere	5	6
son	4	4
song	3	2
soon	8	11
soother	2	2
sore	1	0
sorry	17	27
sort	1	4
sound	11	13
soup	3	3
space	1	2
spark	1	0
spat	1	0
speak	5	5
speaker	0	1
special	2	2
speed	2	2
spell	3	2
spend	2	1
spice	2	0
spider	5	3
spike	0	2
spinning	1	0
spit	2	1
spitting	2	1
split	2	2
sponsor	0	1
spoon	1	1
sporadically	1	1
spot	2	1
spout	2	0
spread	1	0
spring	7	3
springtime	0	1
spy	2	2
squeeze	2	2
squeezer	0	2
squirrel	2	2
squish	4	2
squishy	1	2
stab	1	1
staff	0	1
stair	2	1
stand	10	4
standing	1	1
star	10	5
start	20	24
state	3	2
station	1	1
status	0	1
stay	9	15
steady	9	5
steak	2	0
steal	2	1
steel	0	1
step	3	2
stick	6	8
sticker	1	1
sticky	1	1
stiff	1	0
still	33	33
stink	1	1
stir	1	1
stop	42	38
store	4	2
story	4	8
straight	3	2
strap	0	1
strawberry	2	1
stream	9	7
street	2	4
string	2	2
strip	1	0
stripe	1	1
strong	4	5
struggle	2	3
stuck	8	4
student	1	2
study	6	4
stuff	23	28
stupid	1	1
style	1	1
such	9	6
suck	2	5
sugar	0	1
summer	3	2
sun	6	5
sunflower	1	0
sunny	2	0
sunshine	1	1
sup	0	3
super	2	3
supervisor	1	1
supper	1	1
supply	1	1
support	0	2
suppose	7	11
sur	2	0
sure	21	21
surely	1	0
surprise	2	2
survive	2	2
suspension	0	1
swear	1	2
sweat	3	2
sweater	1	1
